Year,Name,Worth,Age
2001,"Jannard, Jim",17,66
2001,"Johnson, Rupert Jr.",17,60
2001,"Mathile, Clayton Lee",17,-
2001,"McNealy, Scott G.",17,71
2001,"Melnyk, Eugene",17,51
2001,"Peery, Richard Taylor",17,68
2001,"Rich, Robert Edward Sr.",17,-
2001,"Sant, Roger W.",17,-
2001,"Spangler, Clemmie Dixon Jr.",17,60
2001,"Trump, Donald John",17,87
2001,"Bakke, Dennis",16,-
2001,"Bass, Perry Richardson",16,64
2001,"Birck, Michael",16,62
2001,"DeVos, Richard M.",16,33
2001,"Hubbard, Stanley Stub",16,60
2001,"Johnson, Robert L.",16,66
2001,"Magness, Gary",16,47
2001,"McKelvey, Andrew",16,75
2001,"Mitchell, George Phydias",16,77
2001,"Morean, William",16,67
2001,"Stephens, Jackson Thomas",16,-
2001,"Washington, Dennis",16,66
2001,"Weill, Sanford",16,68
2001,"Batten, Frank",15,-
2001,"Berg, Carl Edwin",15,68
2001,"Dorrance, Bennett",15,35
2001,"Goldman, Richard N.",15,49
2001,"Kinder, Richard D.",15,-
2001,"Kravis, Henry R.",15,-
2001,"Magness, Kim",15,90
2001,"Marriott, Richard Edwin",15,61
2001,"McCombs, Billy Joe ""Red""",15,48
2001,"Peralta, Carlos & family",15,-
2001,"Rales, Mitchell",15,69
2001,"Rales, Steven",15,63
2001,"Roberts, George R.",15,57
2001,"Rockefeller, Laurance Spelman",15,58
2001,"Simmons, Harold Clark",15,73
2001,"Sobrato, John Albert",15,54
2001,"Troutt, Kenny A.",15,53
2001,"Yuen, Henry C.",15,-
2001,"Booth, Franklin Otis Jr.",14,80
2001,"Case, Stephen M.",14,71
2001,"Cuban, Mark",14,51
2001,"Druckenmiller, Stanley",14,55
2001,"Ford, William Clay",14,62
2001,"Frist, Thomas F. Jr.",14,44
2001,"Gage, Barbara Carlson",14,-
2001,"Kellogg, William S.",14,49
2001,"Lindemann, George L. & family",14,60
2001,"McNair, Robert C.",14,47
2001,"Nelson,Marilyn Carlson",14,78
2001,"Van Andel, Jay",14,62
2001,"Harp Hel, Alfredo",13,-
2001,"Hernandez, Roberto",13,-
2001,"Hughes, Bradley Wayne",13,55
2001,"Jobs, Steven Paul",13,-
2001,"Lamonde, Germain",13,-
2001,"Langone, Kenneth G.",13,42
2001,"Levine, William S.",13,-
2001,"Marshall, E. Pierce",13,57
2001,"McCain, Wallace",13,-
2001,"Moran, James Martin",13,50
2001,"Moreno, Arturo",13,89
2001,"Munger, Charles",13,67
2001,"Saban, Haim",13,56
2001,"Saba Raffoul, Isaac & family",13,-
2001,"Smith, Vincent C.",13,-
2001,"Sturm, Donald L.",13,-
2001,"Williams, Arthur L. Jr.",13,50
2001,"Bass, Edward Perry",12,-
2001,"Emmerson, Archie Aldis ""Red""",12,64
2001,"Field, Frederick Woodruff",12,-
2001,"Harbert, Marguerite",12,56
2001,"Jamail, Joseph Dahr Jr.",12,66
2001,"Krehbiel, John Hammond Jr.",12,76
2001,"Lenfest, Harold Fitzgerald",12,-
2001,"Mannix, Ron & Fred",12,77
2001,"Marriott, John Willard Jr.",12,63
2001,"Miller, Sydell",12,73
2001,"Nicholas, Peter M.",12,60
2001,"Roberts, Brian L.",12,52
2001,"Rockefeller, Winthrop Paul",12,75
2001,"Scaife, Richard Mellon",12,56
2001,"Siegel, Herbert",12,31
2001,"Stryker, Jon L.",12,-
2001,"Ziff, Daniel Morton",12,36
2001,"Ziff, Dirk Edward",12,-
2001,"Ziff, Robert David",12,-
2001,"Zuckerman, Mortimer Benjamin",12,29
2001,"Abele, John E.",11,73
2001,"Anselmo, Mary",11,73
2001,"Cook, William Alfred",11,79
2001,"Coutu, Jean",11,53
2001,"Dedman, Robert Henry",11,77
2001,"Disney, Roy Edward",11,55
2001,"Flatley, Thomas John",11,56
2001,"Goldsbury, Christopher",11,-
2001,"Kimmel, Sidney",11,60
2001,"McCain, Harrison",11,69
2001,"McCaw, Bruce R.",11,50
2001,"McCaw, John Elroy Jr.",11,63
2001,"McCaw, Keith W.",11,72
2001,"McLane, Robert Drayton Jr.",11,74
2001,"Murdock, David Howard",11,-
2001,"Ricketts, J. Joe",11,69
2001,"Rock, Arthur J.",11,77
2001,"Rogers, Edward S. (Ted)",11,-
2001,"Ryan, Patrick George",11,58
2001,"Scott, Walter Jr.",11,46
2001,"Short, Patricia A.",11,68
2001,"Stryker, Ronda E.",11,-
2001,"Ueltschi, Albert Lee",11,69
2001,"Weber, Charlotte Colket",11,83
2001,"Adelson, Sheldon",10,-
2001,"Bailey, Thomas",10,75
2001,"Chace, Malcolm Green III",10,65
2001,"Diller, Barry",10,50
2001,"Doerr, L. John",10,-
2001,"Filo, David",10,-
2001,"France, James C.",10,-
2001,"France, William C. Jr.",10,-
2001,"Gores, Tom T.",10,58
